smiles,iupac_name,common_name,t3db_id,cas,toxicity_class,toxicity_score,is_toxic,ld50_mg_kg,logp,mol_weight,source
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,pentachlorophenol,Pentachlorophenol,T3D0045,87-86-5,very toxic,4,1,,4.689903876,266.337,t3db_local
ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,"1,6,8,9,10,11,11-heptachloro-4-oxatetracyclo[6.2.1.0²,⁷.0³,⁵]undec-9-ene",Heptachlor epoxide,T3D0046,1024-57-3,toxic,3,1,,4.043759226666666,389.317,t3db_local
ClC(Cl)(Cl)Cl,tetrachloromethane,Carbon tetrachloride,T3D0047,56-23-5,toxic,3,1,1800.0,2.9966022856666665,153.823,t3db_local
Clc1cccc(-c2ccccc2)c1,1-chloro-3-phenylbenzene,Aroclor 1221,T3D0048,11104-28-2,harmful,2,1,,4.224515854333333,188.653,t3db_local
[Co+2],lambda2-cobalt(2+) ion,Cobalt,T3D0049,7440-48-4,toxic,3,1,,0.2299999999999999,58.9332,t3db_local
Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,"1-chloro-2-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene","O,P'-DDT",T3D0050,789-02-6,toxic,3,1,,6.4575023993333325,354.486,t3db_local
Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,"1,3-dichloro-5-(3-chlorophenyl)benzene",Aroclor 1016,T3D0051,12674-11-2,harmful,2,1,,5.432605207,257.543,t3db_local
CCCCOC(=O)c1ccccc1C(=O)OCCCC,"1,2-dibutyl benzene-1,2-dicarboxylate",Dibutyl phthalate,T3D0052,84-74-2,very toxic,4,1,,4.627997773333334,278.3435,t3db_local
[Ni+2],nickel(2+) ion,Nickel,T3D0053,7440-02-0,harmful,2,1,,0.156,58.6934,t3db_local
O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,"1,9,10,11,12,12-hexachloro-4,6-dioxa-5lambda6-thiatricyclo[7.2.1.0^{2,8}]dodec-10-ene-5,5-dione",Endosulfan sulfate,T3D0055,1031-07-8,toxic,3,1,,3.161313103,422.925,t3db_local
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,"O,O-diethyl O-6-methyl-2-(propan-2-yl)pyrimidin-4-yl phosphorothioate",Diazinon,T3D0056,333-41-5,very toxic,4,1,,4.192061325666666,304.346,t3db_local
Cc1cccc(C)c1,"1,3-xylene",m-Xylene,T3D0058,108-38-3,toxic,3,1,500.0,3.000088594666667,106.165,t3db_local
ClC1=C(Cl)[C@]2(Cl)C3C(C[C@H](Cl)[C@@H]3Cl)[C@@]1(Cl)C2(Cl)Cl,"(1R,3R,4S,7S)-1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.0²,⁶]dec-8-ene",cis-Chlordane,T3D0059,5103-71-9,very toxic,4,1,100.0,5.269994390333333,409.779,t3db_local
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,"1-methoxy-4-[2,2,2-trichloro-1-(4-methoxyphenyl)ethyl]benzene",Methoxychlor,T3D0061,72-43-5,slightly toxic,1,0,6400.0,4.9340705153333335,345.648,t3db_local
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,"pentacyclo[10.7.1.0^{2,11}.0^{4,9}.0^{16,20}]icosa-1(19),2,4,6,8,10,12,14,16(20),17-decaene",Benzo[k]fluoranthene,T3D0062,207-08-9,toxic,3,1,,5.273404237333333,252.3093,t3db_local
O=C1C2CC3C1C1(Cl)C(Cl)C4(Cl)C2C3C1(Cl)C4(Cl)Cl,"1,2,2,3,10,11-hexachloropentacyclo[5.4.1.0³,¹⁰.0⁴,¹².0⁵,⁹]dodecan-8-one",Endrin ketone,T3D0063,53494-70-5,very toxic,4,1,,4.320270692666666,380.909,t3db_local
ClC1=C(Cl)[C@]2(Cl)C3C(C[C@@H](Cl)[C@@H]3Cl)[C@@]1(Cl)C2(Cl)Cl,"(1R,3R,4R,7S)-1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.0²,⁶]dec-8-ene",trans-Chlordane,T3D0064,5103-74-2,very toxic,4,1,100.0,5.269994390333333,409.779,t3db_local
O=[Cr](=O)=O,trioxochromium,Chromium(VI) oxide,T3D0065,1333-82-0,toxic,3,1,,-1.8042,99.9943,t3db_local
C,methane,Methane,T3D0066,74-82-8,very toxic,4,1,,1.080922944,16.0425,t3db_local
O=S1OCC2C(CO1)[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl,"(1R,9S)-1,9,10,11,12,12-hexachloro-4,6-dioxa-5λ⁴-thiatricyclo[7.2.1.0²,⁸]dodec-10-en-5-one",beta Endosulfan,T3D0067,33213-65-9,toxic,3,1,500.0,2.599126202333333,406.925,t3db_local
O=CC1CC2C3C1C1(Cl)C(Cl)(Cl)C3(Cl)C3(Cl)C2C13Cl,"3,4,5,6,6,7-hexachloropentacyclo[6.3.0.0²,⁴.0³,⁷.0⁵,⁹]undecane-10-carbaldehyde",Endrin aldehyde,T3D0069,7421-93-4,very toxic,4,1,,3.642227949,380.909,t3db_local
c1ccc2c(c1)-c1cccc3cc4ccccc4c-2c13,"pentacyclo[10.7.1.0^{2,7}.0^{8,20}.0^{14,19}]icosa-1(20),2,4,6,8,10,12,14,16,18-decaene",Benzofluoranthene,T3D0070,56832-73-6,toxic,3,1,,5.273404237333333,252.3093,t3db_local
Cc1ccccc1,toluene,Toluene,T3D0071,108-88-3,extremely toxic,5,1,50.0,2.486667205333333,92.1384,t3db_local
CCCCC(C)=O,hexan-2-one,2-Oxohexane,T3D0072,591-78-6,toxic,3,1,,1.6959529853333333,100.1589,t3db_local
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,"2,3,7,8-tetrachlorooxanthrene","2,3,7,8-Tetrachlorodibenzo-p-dioxin",T3D0073,1746-01-6,very toxic,4,1,,5.416753071333333,321.971,t3db_local
[Zn+2],zinc(2+) ion,Zinc,T3D0074,7440-66-6,toxic,3,1,,0.156,65.409,t3db_local
C[As](C)(=O)O,dimethylarsinic acid,Dimethylarsinate,T3D0075,15132-04-4,very toxic,4,1,,-0.3292000000000001,137.9974,t3db_local
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,"1,2-bis(2-ethylhexyl) benzene-1,2-dicarboxylate",Di(2-ethylhexyl)phthalate,T3D0076,117-81-7,toxic,3,1,,8.025355415999998,390.5561,t3db_local
c1ccc2ccccc2c1,naphthalene,Naphthalene,T3D0078,91-20-3,toxic,3,1,,2.9627225726666664,128.1705,t3db_local
C=C(Cl)Cl,"1,1-dichloroethene","1,1-Dichloroethene",T3D0079,75-35-4,toxic,3,1,,1.861137303,96.943,t3db_local
ClCCl,dichloromethane,Dichloromethane,T3D0080,1975-09-02,toxic,3,1,357.0,1.2889379223333333,84.933,t3db_local
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],"2-methyl-1,3,5-trinitrobenzene","2,4,6-Trinitrotoluene",T3D0082,118-96-7,toxic,3,1,,2.306619773333334,227.1311,t3db_local
NN,hydrazine,Hydrazine,T3D0084,302-01-2,toxic,3,1,,-1.0337903453333332,32.0452,t3db_local
ClCCCl,"1,2-dichloroethane","1,2-Dichloroethane",T3D0085,107-06-2,very toxic,4,1,,1.5005046313333332,98.959,t3db_local
Oc1c(Cl)cc(Cl)cc1Cl,"2,4,6-trichlorophenol","2,4,6-Trichlorophenol",T3D0086,88-06-2,very toxic,4,1,,3.481814523333333,197.446,t3db_local
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,"2,4-dinitrophenol","2,4-Dinitrophenol",T3D0087,51-28-5,very toxic,4,1,,1.549648873,184.1064,t3db_local
ClCCOCCCl,1-chloro-2-(2-chloroethoxy)ethane,Bis(2-chloroethyl) ether,T3D0088,111-44-4,very toxic,4,1,,1.453529123,143.012,t3db_local
N#C[S-],cyanosulfanide,Thiocyanate,T3D0089,302-04-5,very toxic,4,1,,0.5057528946666666,58.082,t3db_local
[Cl-],chloride,Chloride ion,T3D0091,22537-115-1,very toxic,4,1,,0.6123387216666667,35.453,t3db_local
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,"1,3,5-trinitro-1,3,5-triazinane",Cyclotrimethylenetrinitramine,T3D0092,121-82-4,toxic,3,1,,-0.4816021589999989,222.1163,t3db_local
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,hexachlorobenzene,Hexachlorobenzene,T3D0093,118-74-1,toxic,3,1,,5.5975138740000006,284.782,t3db_local
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],"1-methyl-2,4-dinitrobenzene","2,4-Dinitrotoluene",T3D0094,121-14-2,toxic,3,1,,2.366635584,182.1335,t3db_local
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,"O,O-diethyl [({[diethoxy(sulfanylidene)-λ⁵-phosphanyl]sulfanyl}methyl)sulfanyl]phosphonothioate",Ethion,T3D0096,563-12-2,very toxic,4,1,,3.929231981666666,384.476,t3db_local
CC(Cl)(Cl)Cl,"1,1,1-trichloroethane","1,1,1-Trichloroethane",T3D0097,71-55-6,very toxic,4,1,,2.075951796,133.404,t3db_local
CCc1ccccc1,ethylbenzene,Ethylbenzene,T3D0099,100-41-4,very toxic,4,1,,2.931235870333333,106.165,t3db_local
[226RaH2],(²²⁶Ra)radium,Radium-226,T3D0100,13982-63-3,toxic,3,1,,0.0,226.0254,t3db_local
[Th],thorium,Thorium,T3D0101,7440-29-1,toxic,3,1,,0.0,232.0381,t3db_local
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,"2-methyl-4,6-dinitrophenol","4,6-Dinitro-o-cresol",T3D0102,534-52-1,extremely toxic,5,1,29.0,2.063070262333333,198.1329,t3db_local
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,"1,3,5-trinitrobenzene","1,3,5-Trinitrobenzene",T3D0103,99-35-4,toxic,3,1,,1.793198384,213.1045,t3db_local
Clc1ccccc1,chlorobenzene,Chlorobenzene,T3D0104,108-90-7,very toxic,4,1,,2.5772904923333333,112.557,t3db_local
[Rn],radon,Radon,T3D0105,10043-92-2,very toxic,4,1,,0.0,222.0,t3db_local
[228RaH2],(²²⁸Ra)radium,Radium-228,T3D0106,15262-20-1,toxic,3,1,,0.0,228.0311,t3db_local
[230Th],(²³⁰Th)thorium,Thorium-230,T3D0107,14269-63-7,toxic,3,1,,0.0,230.0331,t3db_local
[235U],(²³⁵U)uranium,Uranium-235,T3D0108,15117-96-1,toxic,3,1,,0.0,235.0439,t3db_local
[Ba+2],barium(2+) ion,Barium,T3D0109,7440-39-3,very toxic,4,1,,-0.2,137.327,t3db_local
c1ccc2c(c1)-c1cccc3cccc-2c13,fluoranthene,Fluoranthene,T3D0110,206-44-0,toxic,3,1,,4.283927480666667,202.2506,t3db_local
[234U],(²³⁴U)uranium,Uranium-234,T3D0111,13966-29-5,toxic,3,1,,0.0,234.0409,t3db_local
CCCN(CCC)N=O,nitrosodipropylamine,n-Nitrosodi-n-propylamine,T3D0112,621-64-7,toxic,3,1,,1.7972745216666663,130.1882,t3db_local
[228Th],(²²⁸Th)thorium,Thorium-228,T3D0113,14274-82-9,toxic,3,1,,0.0,228.0287,t3db_local
[222Rn],(²²²Rn)radon,Radon-222,T3D0114,14859-67-7,very toxic,4,1,,0.0,222.0176,t3db_local
